,python,jupyter,pandas,numpy,tensorflow,keras,sklearn,r,rstudio,tidyverse,java,c,c++,c#,fortran,sas,matlab,spss,stata,excel,hadoop,spark,hive,pig,scala,tableau,d3,bi,sql,nosql,mysql,postgresql,sql server,mongo,redis,cassandra,neo4j,html,css,javascript,ruby,php,api,aws,cloud,big data,machine learning,deep learning,ai,nlp,graph,data visual,predictive,model,data mining,simulation,forecast,statistic,math,computer science,economics,engineering,clearance,job,company,location,job title,Link,Employees size,Industry,Revenue,city,state
0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,https://www.indeed.com/company/Numero-Data-LLC/jobs/Entry-Level-Data-Scientist-ad9a154fb51286b7?fccid=e2b02ba1480369a4&vjs=3,,,Entry Level Data Scientist (JUNIOR),,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,1,1,1,1,2,0,https://www.indeed.com/rc/clk?jk=1fbb5d46659efb84&fccid=7077d7e88049c02a&vjs=3,AETNA,"New York, NY 10016",Data Scientist (All Levels),https://www.indeed.com/cmp/Aetna/,"10,000+",Insurance,more than $10B (USD),New York,NY
2,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,https://www.indeed.com/rc/clk?jk=267e7cf7de2959c7&fccid=de71a49b535e21cb&vjs=3,IBM,United States,Entry Level Data Scientist,https://www.indeed.com/cmp/IBM/,"10,000+",Consulting and Business Services,more than $10B (USD),United States,
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,3,0,https://www.indeed.com/company/SandBox-Semiconductor/jobs/Data-Scientist-e5a66c7b7e906959?fccid=b7130490ce19c2a1&vjs=3,SandBox Semiconductor,"Austin, TX 78704",Data Scientist,,,,,Austin,TX
7,3,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,0,https://www.indeed.com/rc/clk?jk=c9d0dc64348ab5f9&fccid=de71a49b535e21cb&vjs=3,IBM,"New York, NY 10002",Junior Data Scientist Apprenticeship,https://www.indeed.com/cmp/IBM/,"10,000+",Consulting and Business Services,more than $10B (USD),New York,NY
8,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,https://www.indeed.com/rc/clk?jk=2941ba1e8bc23ab2&fccid=b9d4e9eceb3ff4c0&vjs=3,Codecademy,"New York, NY","Data Scientist, Experimentation",https://www.indeed.com/cmp/Codecademy/,11 to 50,,,New York,NY
17,3,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,1,1,1,0,1,0,https://www.indeed.com/rc/clk?jk=1e686166d30fd118&fccid=de71a49b535e21cb&vjs=3,IBM,United States,Entry Level - Associate Data Scientist,https://www.indeed.com/cmp/IBM/,"10,000+",Consulting and Business Services,more than $10B (USD),United States,
18,3,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,1,1,1,0,1,0,https://www.indeed.com/rc/clk?jk=1e686166d30fd118&fccid=de71a49b535e21cb&vjs=3,IBM,United States,Entry Level - Associate Data Scientist,,,,,United States,
19,3,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,1,1,1,0,1,0,https://www.indeed.com/rc/clk?jk=1e686166d30fd118&fccid=de71a49b535e21cb&vjs=3,,,Entry Level - Associate Data Scientist,https://www.indeed.com/cmp/IBM/,"10,000+",Consulting and Business Services,more than $10B (USD),,
20,3,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,1,1,1,0,1,0,https://www.indeed.com/rc/clk?jk=1e686166d30fd118&fccid=de71a49b535e21cb&vjs=3,,,Entry Level - Associate Data Scientist,,,,,,
21,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,https://www.indeed.com/rc/clk?jk=21091c4562d65586&fccid=dd616958bd9ddc12&vjs=3,Numerdox,"Sacramento, CA",Data Scientist - Entry Level,,,,,Sacramento,CA
22,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,https://www.indeed.com/rc/clk?jk=11baba484db23433&fccid=734cb5a01ee60f80&vjs=3,Microsoft,"Redmond, WA",Full Time Opportunities for Students or Recent Graduates: Data & Applied Sciences,https://www.indeed.com/cmp/Microsoft/,"10,000+",Internet and Software,more than $10B (USD),Redmond,WA
23,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,https://www.indeed.com/rc/clk?jk=c389f7156524e499&fccid=dd616958bd9ddc12&vjs=3,,,Entry level Data Scientist,,,,,,
25,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,https://www.indeed.com/rc/clk?jk=c389f7156524e499&fccid=dd616958bd9ddc12&vjs=3,Cloudbigdata Technologies,"Dallas, TX",Entry level Data Scientist,,,,,Dallas,TX
27,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,https://www.indeed.com/rc/clk?jk=6cdff2768630544d&fccid=b9d4e9eceb3ff4c0&vjs=3,,,"Data Scientist, Analytics & Inference",,,,,,
28,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,https://www.indeed.com/rc/clk?jk=3afa4b5a60bab58f&fccid=1639254ea84748b5&vjs=3,Facebook,"New York, NY 10017","Data Scientist, Analytics (University Grad)",https://www.indeed.com/cmp/Facebook/,"10,000+",Internet and Software,more than $10B (USD),New York,NY
29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,https://www.indeed.com/company/SILVERLINK-TECHNOLOGIES-LLC/jobs/Data-Scientist-fe7fe474326f9b61?fccid=fa5518b17910d7b1&vjs=3,SILVERLINK TECHNOLOGIES LLC,"Plano, TX",Data Scientist,,,,,Plano,TX
33,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,7,0,0,0,0,0,0,0,0,2,0,1,0,0,0,https://www.indeed.com/rc/clk?jk=ddf627c56a1c3cc9&fccid=de71a49b535e21cb&vjs=3,IBM,United States,Data Scientist,https://www.indeed.com/cmp/IBM/,"10,000+",Consulting and Business Services,more than $10B (USD),United States,
37,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,https://www.indeed.com/company/BMR-Infotek/jobs/Data-Scientist-dca7d24e4fcda435?fccid=0a3c5a34d259e6bc&vjs=3,BMR Infotek,"Atlanta, GA",Data Scientist,,,,,Atlanta,GA
