,python,jupyter,pandas,numpy,tensorflow,keras,sklearn,r,rstudio,tidyverse,java,c,c++,c#,fortran,sas,matlab,spss,stata,excel,hadoop,spark,hive,pig,scala,tableau,d3,bi,sql,nosql,mysql,postgresql,sql server,mongo,redis,cassandra,neo4j,html,css,javascript,ruby,php,api,aws,cloud,big data,machine learning,deep learning,ai,nlp,graph,data visual,predictive,model,data mining,simulation,forecast,statistic,math,computer science,economics,engineering,clearance,job,company,location,job title,Link,Employees size,Industry,Revenue,city,state
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,https://www.indeed.com/company/Numero-Data-LLC/jobs/Junior-Data-Scientist-5c22facccba4acc8?fccid=541ba4441800d456&vjs=3,Numero Data LLC,"Herndon, VA",Jr. Data Scientist,,,,,Herndon,VA
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,https://www.indeed.com/company/Numero-Data-LLC/jobs/Entry-Level-Data-Scientist-e9fa5b8e369923cb?fccid=e2b02ba1480369a4&vjs=3,Numero Data LLC,"Herndon, VA",Entry level Data Scientist,,,,,Herndon,VA
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,https://www.indeed.com/rc/clk?jk=8c9277695be5f139&fccid=b2d899f595c435be&vjs=3,Customer Value Partners,"Washington, DC",Data Scientist - Entry Level,https://www.indeed.com/cmp/Customer-Value-Partners/,51 to 200,Consulting and Business Services,$5M to $25M (USD),Washington,DC
3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,"https://www.indeed.com/company/Lexical-Intelligence,-LLC/jobs/Data-Scientist-993d09fb4713f228?fccid=bf6fed776c45bbb2&vjs=3","Lexical Intelligence, LLC","Bethesda, MD",Data Scientist,,,,,Bethesda,MD
4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.indeed.com/rc/clk?jk=b64bc87ddcff14df&fccid=b8df243f15e7ff2e&vjs=3,,,Data Scientist,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,0,https://www.indeed.com/rc/clk?jk=cdf4488bd98e6a46&fccid=e9870e3159e9c6ac&vjs=3,Central Intelligence Agency,"Washington, DC",Graduate Studies Program - Data Scientist,https://www.indeed.com/cmp/Central-Intelligence-Agency/,"10,000+",Government,,Washington,DC
9,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,3,0,2,0,2,0,2,0,0,0,0,0,https://www.indeed.com/rc/clk?jk=4dbfcbc74e2e5a30&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Rosslyn, VA 22209",Jr. Data Scientist,https://www.indeed.com/cmp/Deloitte/,"10,000+",Consulting and Business Services,$1B to $5B (USD),Rosslyn,VA
10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,https://www.indeed.com/rc/clk?jk=21091c4562d65586&fccid=dd616958bd9ddc12&vjs=3,,,Data Scientist - Entry Level,,,,,,
11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,https://www.indeed.com/rc/clk?jk=a1a15e6fe12daf98&fccid=a4e4e2eaf26690c9&vjs=3,Accenture,"Washington, DC 20006",Federal - Data Scientist,https://www.indeed.com/cmp/Accenture/,"10,000+",Consulting and Business Services,more than $10B (USD),Washington,DC
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,1,1,0,0,2,0,0,0,0,0,"https://www.indeed.com/company/SVK-Technology-Solutions,-Inc/jobs/Senior-Data-Scientist-d782ab22a8973763?fccid=7298a881e7376b63&vjs=3","SVK Technology Solutions, Inc","Fairfax, VA",Sr. Data Scientist,,,,,Fairfax,VA
