,python,jupyter,pandas,numpy,tensorflow,keras,sklearn,r,rstudio,tidyverse,java,c,c++,c#,fortran,sas,matlab,spss,stata,excel,hadoop,spark,hive,pig,scala,tableau,d3,bi,sql,nosql,mysql,postgresql,sql server,mongo,redis,cassandra,neo4j,html,css,javascript,ruby,php,api,aws,cloud,big data,machine learning,deep learning,ai,nlp,graph,data visual,predictive,model,data mining,simulation,forecast,statistic,math,computer science,economics,engineering,clearance,job,company,location,job title,Link,Employees size,Industry,Revenue,city,state
287,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://www.indeed.com/rc/clk?jk=b14f9122b5dabe2c&fccid=2ae8e6ca0e3dc338&vjs=3,bioMerieux,"Durham, NC 27712",Data Scientist,https://www.indeed.com/cmp/Biomerieux/,"5,001 to 10,000",Pharmaceuticals,$1B to $5B (USD),Durham,NC
288,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,1,0,0,1,0,2,0,1,1,1,0,0,0,0,0,https://www.indeed.com/rc/clk?jk=1a4e3af4495bb250&fccid=ff0ae5c2f51f41ae&vjs=3,Concurrency,"Brookfield, WI 53045",Associate Data Scientist,https://www.indeed.com/cmp/Concurrency/,,,,Brookfield,WI
289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,https://www.indeed.com/rc/clk?jk=8b5365766869b899&fccid=ae3ba26fed950f3e&vjs=3,ARK Solutions,"Miami, FL",Neo4J – Data Scientist,https://www.indeed.com/cmp/Ark-Solutions/,51 to 200,,$1M to $5M (USD),Miami,FL
290,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"https://www.indeed.com/company/RMDS-Lab,-Inc/jobs/Data-Scientist-614f9fbd6a80e036?fccid=bb09cf205f12348c&vjs=3","RMDS Lab, Inc","Pasadena, CA 91101",Data Scientist,,,,,Pasadena,CA
294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,https://www.indeed.com/rc/clk?jk=0604b1519c193a65&fccid=d58a00840aa74a05&vjs=3,KEYW Corporation,"Severn, MD 21144",SAR Data Scientist,https://www.indeed.com/cmp/Keyw-Corporation/,"1,001 to 5,000",Aerospace and Defense,$100M to $500M (USD),Severn,MD
298,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,"https://www.indeed.com/company/EurekaFacts,-LLC/jobs/Research-Assistant-ba18f52c28de5524?fccid=fb30a0407f0def2f&vjs=3","EurekaFacts, LLC","Rockville, MD 20850",Research Assistant- Data Science,,,,,Rockville,MD
300,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,"https://www.indeed.com/company/EurekaFacts,-LLC/jobs/Research-Assistant-ba18f52c28de5524?fccid=fb30a0407f0def2f&vjs=3",,,Research Assistant- Data Science,,,,,,
302,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,1,2,1,1,0,0,https://www.indeed.com/company/Cox-Little-&-Company/jobs/Data-Scientist-a9ec2248df4f983e?fccid=017e532458068bda&vjs=3,Cox Little & Company,"Raleigh, NC",Data Scientist,,,,,Raleigh,NC
303,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,https://www.indeed.com/rc/clk?jk=caac11f35b873888&fccid=b85c5070c3d3d8c8&vjs=3,Capital One - US,"McLean, VA","Manager, Data Scientist - Card DS+",https://www.indeed.com/cmp/Capital-One/,"10,000+",Banks and Financial Services,more than $10B (USD),McLean,VA
304,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,https://www.indeed.com/rc/clk?jk=caac11f35b873888&fccid=b85c5070c3d3d8c8&vjs=3,Capital One - US,"McLean, VA","Manager, Data Scientist - Card DS+",,,,,McLean,VA
305,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,https://www.indeed.com/rc/clk?jk=caac11f35b873888&fccid=b85c5070c3d3d8c8&vjs=3,,,"Manager, Data Scientist - Card DS+",https://www.indeed.com/cmp/Capital-One/,"10,000+",Banks and Financial Services,more than $10B (USD),,
306,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,https://www.indeed.com/rc/clk?jk=caac11f35b873888&fccid=b85c5070c3d3d8c8&vjs=3,,,"Manager, Data Scientist - Card DS+",,,,,,
307,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,5,0,https://www.indeed.com/rc/clk?jk=5df4f19a4abba7a9&fccid=a5b4499d9e91a5c6&vjs=3,Google,"Mountain View, CA","Data Scientist, Operations Data Science",https://www.indeed.com/cmp/Google/,"10,000+",Internet and Software,more than $10B (USD),Mountain View,CA
308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,https://www.indeed.com/rc/clk?jk=7f035a6100799335&fccid=c73e80f53e2f7070&vjs=3,Royce Geospatial,"Springfield, VA 22150",Data Modeler/Data Scientist,https://www.indeed.com/cmp/Royce-Geospatial/,,,,Springfield,VA
317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,https://www.indeed.com/rc/clk?jk=a2530c98a386d607&fccid=9ee66ada40315e6d&vjs=3,,"Silver Spring, MD",FDA Data Mining of Inspectional Data Fellowship,,,,,Silver Spring,MD
349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,https://www.indeed.com/rc/clk?jk=a2530c98a386d607&fccid=9ee66ada40315e6d&vjs=3,,,FDA Data Mining of Inspectional Data Fellowship,,,,,,
381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,https://www.indeed.com/rc/clk?jk=efb2d32728acc38c&fccid=8e93e13134189c36&vjs=3,Valassis,"Morrisville, NC 27560",Data Scientist,"https://www.indeed.com/cmp/Valassis,-Inc/","5,001 to 10,000",Consulting and Business Services,$1B to $5B (USD),Morrisville,NC
385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,https://www.indeed.com/company/Systechcorp-Inc/jobs/Data-Scientist-b92aaeac64f17962?fccid=358c10d927fd8116&vjs=3,Systechcorp Inc,"New York, NY",Data Scientist,,,,,New York,NY
386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.indeed.com/company/Nespon-IT-Services/jobs/Data-Scientist-f7023a16487f2095?fccid=a913cc7a16012b8a&vjs=3,Nespon IT Services,"Farmers Branch, TX",Data Scientist,,,,,Farmers Branch,TX
